서식코드,서식명,대분류,구분,업데이트일
11212,자기 전환사채 매도 결정,수시공시,금감원,20250729
11214,자기 전환주식 매도 결정,수시공시,금감원,20250729
11301,부도발생,수시공시,금감원,20250729
11302,은행거래정지ㆍ금지,수시공시,금감원,20250729
11303,영업정지,수시공시,금감원,20250729
11304,회생절차개시신청,수시공시,금감원,20250729
11305,해산사유발생,수시공시,금감원,20250729
11306,유상증자결정,수시공시,금감원,20250729
11307,무상증자결정,수시공시,금감원,20250729
11308,유무상증자결정,수시공시,금감원,20250729
11309,감자결정,수시공시,금감원,20250729
11310,채권은행등의관리절차개시,수시공시,금감원,20250729
11312,소송등의제기,수시공시,금감원,20250729
11313,해외증권시장주권등상장결정,수시공시,금감원,20250729
11314,해외증권시장주권등상장폐지결정,수시공시,금감원,20250729
11315,해외증권시장주권등상장,수시공시,금감원,20250729
11316,해외증권시장주권등상장폐지,수시공시,금감원,20250729
11317,해외증권시장주권등매매거래정지등조치,수시공시,금감원,20250729
11318,외국법인등의외국법령등변경,수시공시,금감원,20250729
11319,외국법인등의주식등에대한외국에서의공개매수,수시공시,금감원,20250729
11320,외국법인등의주식등에대한외국에서의안정조작등,수시공시,금감원,20250729
11321,외국법인등의해외법규위반으로인한조치,수시공시,금감원,20250729
11322,외국법인등의외국거래소로부터매매거래정지ㆍ해제,수시공시,금감원,20250729
11323,외국법인등의외국거래소로부터상장폐지,수시공시,금감원,20250729
11324,전환사채권발행결정,수시공시,금감원,20250729
11325,신주인수권부사채권발행결정,수시공시,금감원,20250729
11326,교환사채권발행결정,수시공시,금감원,20250729
11327,채권은행등의관리절차중단,수시공시,금감원,20250729
11328,전환형 조건부자본증권 발행결정,수시공시,금감원,20250729
11329,상각형 조건부자본증권 발행결정,수시공시,금감원,20250729
11330,전환형 조건부자본증권의 주식전환 사유 발생,수시공시,금감원,20250729
11331,상각형 조건부자본증권의 채무재조정 사유 발생,수시공시,금감원,20250729
11332,자기주식 취득 결정,수시공시,금감원,20250729
11333,자기주식 처분 결정,수시공시,금감원,20250729
11334,자기주식취득 신탁계약 체결 결정,수시공시,금감원,20250729
11335,자기주식취득 신탁계약 해지 결정,수시공시,금감원,20250729
11336,영업양수 결정,수시공시,금감원,20250729
11337,영업양도 결정,수시공시,금감원,20250729
11338,유형자산 양수 결정,수시공시,금감원,20250729
11339,유형자산 양도 결정,수시공시,금감원,20250729
11340,타법인 주식 및 출자증권 양수결정,수시공시,금감원,20250729
11341,타법인 주식 및 출자증권 양도결정,수시공시,금감원,20250729
11342,주권 관련 사채권 양수 결정,수시공시,금감원,20250729
11343,주권 관련 사채권 양도 결정,수시공시,금감원,20250729
11344,회사합병 결정,수시공시,금감원,20250729
11345,회사분할 결정,수시공시,금감원,20250729
11346,회사분할합병 결정,수시공시,금감원,20250729
11347,주식교환ㆍ이전 결정,수시공시,금감원,20250729
11348,자본으로 인정되는 채무증권 발행결정,수시공시,금감원,20250729
11350,자기 신주인수권부사채 매도 결정,수시공시,금감원,20250729
11354,자기 전환사채 만기전 취득 결정,수시공시,금감원,20250729
11355,자기 신주인수권부사채 만기전 취득 결정,수시공시,금감원,20250729
11356,자기 전환주식 취득 결정,수시공시,금감원,20250729
11357,신탁계약에 의한 자기주식 처분 결정,수시공시,금감원,20250729
61121,증권예탁증권(DR)발행결정,수시공시,거래소,20250729
61131,주식 소각 결정,수시공시,거래소,20250729
61147,해외증권거래소등에신고한주요공시사항의국내신고,수시공시,거래소,20250729
61148,해외증권거래소 등의 조회공시사항 국내신고,수시공시,거래소,20250729
61149,해외증권거래소 등에 요청한 매매거래정지 등 국내신고,수시공시,거래소,20250729
61152,단기차입금증가결정,수시공시,거래소,20250729
61178,회생절차개시결정,수시공시,거래소,20250729
61197,상장폐지결정,수시공시,거래소,20250729
61202,경영정상화계획의이행약정체결,수시공시,거래소,20250729
61209,최대주주변경,수시공시,거래소,20250729
61220,소송등의제기ㆍ신청(일정금액 이상의 청구),수시공시,거래소,20250729
61221,소송등의판결ㆍ결정(일정금액 이상의 청구),수시공시,거래소,20250729
61222,소송등의판결ㆍ결정,수시공시,거래소,20250729
61223,소송 등의 제기ㆍ신청(경영권 분쟁 소송),수시공시,거래소,20250729
61230,출자법인 부도ㆍ해산사유 등 발생(자율공시),수시공시,거래소,20250729
61231,출자법인 회생절차 및 파산 관련 결정(자율공시),수시공시,거래소,20250729
61232,피보증(담보)법인 부도ㆍ해산사유 등 발생(자율공시),수시공시,거래소,20250729
61233,피보증(담보)법인 회생절차 및 파산 관련 결정(자율공시),수시공시,거래소,20250729
61234,출자법인 부도ㆍ해산사유 등 발생,수시공시,거래소,20250729
61235,출자법인 회생절차 및 파산 관련 결정,수시공시,거래소,20250729
61236,피보증(담보)법인 부도ㆍ해산사유 등 발생,수시공시,거래소,20250729
61237,피보증(담보)법인 회생절차 및 파산 관련 결정,수시공시,거래소,20250729
61241,생산중단,수시공시,거래소,20250729
61245,재해발생,수시공시,거래소,20250729
61246,제품에대한수거ㆍ파기등결정,수시공시,거래소,20250729
61313,타인에대한담보제공결정,수시공시,거래소,20250729
61314,타인에대한채무보증결정,수시공시,거래소,20250729
61330,출자법인 회생절차 및 파산 관련 신청,수시공시,거래소,20250729
61331,출자법인 회생절차 및 파산 관련 신청(자율공시),수시공시,거래소,20250729
61332,피보증(담보)법인 회생절차 및 파산 관련 신청,수시공시,거래소,20250729
61333,피보증(담보)법인 회생절차 및 파산 관련 신청(자율공시),수시공시,거래소,20250729
61361,신규시설투자등,수시공시,거래소,20250729
61362,시설외투자 등,수시공시,거래소,20250729
61363,시설외투자 등(자율공시),수시공시,거래소,20250729
61364,녹색기술ㆍ사업에 대한 인증ㆍ인증취소(자율공시),수시공시,거래소,20250729
61365,녹색전문기업의 확인ㆍ확인취소(자율공시),수시공시,거래소,20250729
61366,온실가스ㆍ에너지 관리업체 지정ㆍ지정취소(자율공시),수시공시,거래소,20250729
61367,녹색경영정보 관련 개선명령 등 조치(자율공시),수시공시,거래소,20250729
61368,녹색기업의 지정ㆍ지정취소(자율공시),수시공시,거래소,20250729
61369,온실가스 배출권의 취득(자율공시),수시공시,거래소,20250729
61370,온실가스 배출권의 처분(자율공시),수시공시,거래소,20250729
61371,선급금 지급 결정(자율공시),수시공시,거래소,20250729
61372,금전 가지급 결정(자율공시),수시공시,거래소,20250729
61373,유상증자 또는 주식관련사채 등의 발행결과(자율공시),수시공시,거래소,20250729
61374,기타 녹색경영정보 관련 공시(자율공시),수시공시,거래소,20250729
61376,선급금 지급 결정,수시공시,거래소,20250729
61377,금전 가지급 결정,수시공시,거래소,20250729
61381,타법인주식및출자증권취득결정,수시공시,거래소,20250729
61382,타법인주식및출자증권처분결정,수시공시,거래소,20250729
61474,주식배당결정,수시공시,거래소,20250729
61478,액면주식의 무액면주식 전환 결정,수시공시,거래소,20250729
61479,무액면주식의 액면주식 전환 결정,수시공시,거래소,20250729
61500,현금ㆍ현물 배당 결정,수시공시,거래소,20250729
61570,영업전부의임대ㆍ경영위임등결정,수시공시,거래소,20250729
61571,영업전부의임대ㆍ경영위임등의계약변경ㆍ해지결정,수시공시,거래소,20250729
61573,해외증권거래소등에신고한사업보고서등의국내신고,수시공시,거래소,20250729
61575,신탁계약등에의해취득한자기주식의장외처분결정,수시공시,거래소,20250729
61612,자산재평가 결과(자율공시),수시공시,거래소,20250729
61960,상장외국법인의증권예탁증권취득결정,수시공시,거래소,20250729
61961,상장외국법인의증권예탁증권처분결정,수시공시,거래소,20250729
61963,상장외국법인의기타주요경영사항,수시공시,거래소,20250729
61970,국내외 주권 동시상장기업의 시장간 주권교체 신고,신고사항,거래소,20250729
61971,외국주권 또는 외국주식예탁증권의 상호 전환 신고,신고사항,거래소,20250729
61972,가장납입 혐의 발생,수시공시,거래소,20250729
61973,가장납입 혐의 발생(자율공시),수시공시,거래소,20250729
61974,가장납입 사실 확인,수시공시,거래소,20250729
61975,가장납입 사실 확인(자율공시),수시공시,거래소,20250729
61976,매출채권 이외의 채권에서 발생한 손상차손,수시공시,거래소,20250729
61977,매출채권 이외의 채권에서 발생한 손상차손(자율공시),수시공시,거래소,20250729
61978,온실가스ㆍ에너지 관리업체의 배출량ㆍ사용량(자율공시),수시공시,거래소,20250729
61979,지속가능경영보고서 등 관련사항(자율공시),수시공시,거래소,20250729
61980,유상증자 또는 주식관련사채 등의 청약결과(자율공시),수시공시,거래소,20250729
61981,자산재평가 실시 결정(자율공시),수시공시,거래소,20250729
61982,가족친화 인증ㆍ유효기간 연장ㆍ인증취소(자율공시),수시공시,거래소,20250729
61983,가족친화 경영정보 관련 과태료 부과 조치(자율공시),수시공시,거래소,20250729
68108,최대주주인명목회사의최대주주변경,신고사항,거래소,20250729
68109,전환가액ㆍ신주인수권행사가액ㆍ교환가액의 조정(안내공시),신고사항,거래소,20250729
68201,주주명부폐쇄기간 또는 기준일 설정,신고사항,거래소,20250729
68202,채권자이의제출 등,신고사항,거래소,20250729
68205,본점소재지변경,신고사항,거래소,20250729
68210,기타신고사항,신고사항,거래소,20250729
68701,유동성공급계약의 체결,신고사항,거래소,20250729
68702,유동성공급계약의 변경,신고사항,거래소,20250729
68703,유동성공급계약의 해지,신고사항,거래소,20250729
91032,횡령ㆍ배임 사실확인(자율공시),수시공시,거래소,20250729
91128,주식분할 결정,수시공시,거래소,20250729
91129,주식병합 결정,수시공시,거래소,20250729
91150,단기차입금감소(자율공시),수시공시,거래소,20250729
91174,회생절차 종결신청,수시공시,거래소,20250729
91175,회생절차 폐지신청,수시공시,거래소,20250729
91176,회생절차 종결결정,수시공시,거래소,20250729
91177,회생절차 폐지결정,수시공시,거래소,20250729
91183,벌금등의부과,수시공시,거래소,20250729
91195,채권은행 등의 관리절차 개시(기업구조조정 촉진법에 해당하지 않는 경우),수시공시,거래소,20250729
91199,채권은행 등의 관리절차 중단(기업구조조정 촉진법에 해당하지 않는 경우),수시공시,거래소,20250729
91200,채권은행 등의 관리절차 해제,수시공시,거래소,20250729
